date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:29	9892/9892	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Jan%202019%2000:09:24%20GMT	https://www.22codes.com/demo/javascript/superwheel/	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/index.html	(from )
15:07:29	46/46	---MCZ	200	added ('OK')	text/plain	date:Thu,%2016%20May%202019%2008:07:30%20GMT	https://www.22codes.com/robots.txt		(from )
15:07:30	178152/178152	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2003:49:24%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/css/bootstrap.css	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/css/bootstrap.css	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:30	3070/3070	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2003:49:24%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/css/prism.css	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/css/prism.css	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:30	26756/26756	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2003:49:25%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/css/sweetalert2.min.css	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/css/sweetalert2.min.css	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:31	4835/4835	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2003:49:37%20GMT	https://www.22codes.com/demo/javascript/superwheel/dist/superwheel.css	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/dist/superwheel.css	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:31	8730/8730	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2003:49:24%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/css/main.css	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/css/main.css	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:31	883/883	---MC-	200	added ('OK')	text/css	date:Thu,%2016%20May%202019%2008:07:32%20GMT	https://fonts.googleapis.com/css?family=Lato:400,400i,700,700i	D:/downloadsite/a/fonts.googleapis.com/cssfdf4.css	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:32	86926/86926	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2002%20Nov%202018%2002:56:33%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/js/jquery-3.3.1.js	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/js/jquery-3.3.1.js	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:32	70966/70966	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2002%20Nov%202018%2002:55:38%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/js/bootstrap.bundle.js	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/js/bootstrap.bundle.js	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:32	34683/34683	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2022%20Oct%202018%2003:49:37%20GMT	https://www.22codes.com/demo/javascript/superwheel/dist/superwheel.js	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/dist/superwheel.js	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:33	25415/25415	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2022%20Oct%202018%2003:49:33%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/js/prism.js	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/js/prism.js	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:33	34564/34564	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2022%20Oct%202018%2003:49:34%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/js/sweetalert2.min.js	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/js/sweetalert2.min.js	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:33	2068/2068	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2022%20Oct%202018%2003:49:33%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/js/main.js	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/js/main.js	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:33	7273/7273	---M--	200	added ('OK')	audio/mpeg	date:Mon,%2022%20Oct%202018%2003:49:36%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/media/tick.mp3	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/media/tick.mp3	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:34	65494/65494	---MC-	200	added ('OK')	application/javascript	date:Wed,%2015%20May%202019%2020:41:16%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-130950821-1	D:/downloadsite/a/www.googletagmanager.com/gtag/js0100	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:35	41870/41870	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Jan%202019%2000:09:21%20GMT	https://www.22codes.com/demo/javascript/superwheel/builder.html	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/builder.html	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:35	24608/24608	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Jan%202019%2000:09:22%20GMT	https://www.22codes.com/demo/javascript/superwheel/docs.html	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/docs.html	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2016%20May%202019%2008:07:37%20GMT	https://22codes.com/	D:/downloadsite/a/22codes.com/index.html	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:36	141395/141395	---MCZ	200	added ('OK')	text/html	etag:W/%22987ef06f9cee6076a63c17572f3aa091%22	https://codecanyon.net/item/super-wheel-super-easy-and-fully-controlled-wheel-of-fortune/22764259	D:/downloadsite/a/codecanyon.net/item/super-wheel-super-easy-and-fully-controlled-wheel-of-fortune/22764259.html	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:36	2682/2682	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2003:50:01%20GMT	https://www.22codes.com/demo/javascript/superwheel/templates/left/left.html	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/templates/left/left.html	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:36	3142/3142	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Oct%202018%2003:49:28%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/img/superWheel_left.png	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/img/superWheel_left.png	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:37	2695/2695	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2003:50:04%20GMT	https://www.22codes.com/demo/javascript/superwheel/templates/top/top.html	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/templates/top/top.html	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:37	2717/2717	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Oct%202018%2003:49:29%20GMT	https://www.22codes.com/demo/javascript/superwheel/assets/img/superWheel_top.png	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/assets/img/superWheel_top.png	(from https://www.22codes.com/demo/javascript/superwheel/)
15:07:37	1096/1096	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2003:50:04%20GMT	https://www.22codes.com/demo/javascript/superwheel/templates/standard/standard.html	D:/downloadsite/a/www.22codes.com/demo/javascript/superwheel/templates/standard/standard.html	(from https://www.22codes.com/demo/javascript/superwheel/)
